time,open,high,low,close,Upper Band,Lower Band,SMA,Volume,RSI,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2024-10-20T22:35:00-04:00,134.07,134.07,134.07,134.07,134.11736067867918,134.072639321321,134.09500000000008,16,35.091512962049606,35.091512962049606,45.13785563177361,NaN,NaN,NaN,NaN
2024-10-20T22:36:00-04:00,134.07,134.07,134.07,134.07,134.11674868359844,134.0692513164017,134.09300000000007,2,35.091512962049606,35.091512962049606,44.0178534577413,NaN,NaN,NaN,NaN
2024-10-20T22:38:00-04:00,134.07,134.07,134.06,134.07,134.11701470154313,134.06598529845698,134.09150000000005,98,35.091512962049606,35.091512962049606,42.897851283708995,NaN,NaN,NaN,NaN
2024-10-20T22:39:00-04:00,134.07,134.07,134.06,134.06,134.11649545379606,134.0615045462041,134.08900000000008,61,30.304900486567746,30.304900486567746,41.43594821857084,NaN,NaN,NaN,NaN
2024-10-20T22:40:00-04:00,134.06,134.06,134.06,134.06,134.1149780610592,134.05802193894098,134.0865000000001,40,30.304900486567746,30.304900486567746,39.97404515343269,NaN,NaN,NaN,NaN
2024-10-20T22:41:00-04:00,134.07,134.07,134.07,134.07,134.1136356413838,134.05636435861638,134.0850000000001,104,39.82443511163463,39.82443511163463,39.192108847227885,NaN,NaN,NaN,NaN
2024-10-20T22:42:00-04:00,134.06,134.06,134.06,134.06,134.11273213714364,134.05326786285653,134.08300000000008,2,34.71764081820899,34.71764081820899,38.045401520064104,NaN,NaN,NaN,NaN
2024-10-20T22:43:00-04:00,134.07,134.07,134.07,134.07,134.11067190386714,134.05232809613304,134.0815000000001,76,42.6390069126254,42.6390069126254,37.46450605678721,NaN,NaN,NaN,NaN
2024-10-20T22:44:00-04:00,134.07,134.09,134.07,134.08,134.10841057111494,134.05258942888523,134.0805000000001,39,49.268315167461445,49.268315167461445,38.57725245765057,NaN,NaN,NaN,NaN
2024-10-20T22:45:00-04:00,134.08,134.08,134.08,134.08,134.10593860724168,134.05306139275854,134.0795000000001,1,49.26831516746144,49.26831516746144,38.96354572492596,NaN,NaN,NaN,NaN
2024-10-20T22:46:00-04:00,134.08,134.08,134.08,134.08,134.10321841381025,134.0537815861899,134.07850000000008,32,49.268315167461445,49.268315167461445,39.793950956272134,NaN,NaN,NaN,NaN
2024-10-20T22:47:00-04:00,134.08,134.08,134.08,134.08,134.10019361062828,134.05480638937192,134.0775000000001,4,49.26831516746144,49.26831516746144,40.03443809377871,NaN,NaN,NaN,NaN
2024-10-20T22:48:00-04:00,134.07,134.08,134.07,134.08,134.0967731338782,134.056226866122,134.0765000000001,4,49.268315167461445,49.268315167461445,40.684194536407965,NaN,NaN,NaN,NaN
2024-10-20T22:49:00-04:00,134.08,134.08,134.08,134.08,134.09279161539538,134.0582083846048,134.0755000000001,1,49.268315167461445,49.268315167461445,41.333950979037226,NaN,NaN,NaN,NaN
2024-10-20T22:50:00-04:00,134.07,134.07,134.07,134.07,134.09232050680683,134.05767949319338,134.0750000000001,2,41.74272668224504,41.74272668224504,41.809037673336896,NaN,NaN,NaN,NaN
2024-10-20T22:51:00-04:00,134.08,134.08,134.06,134.06,134.09055872051835,134.05644127948187,134.0735000000001,72,35.84614992970316,35.84614992970316,41.862940313883584,NaN,NaN,NaN,NaN
2024-10-20T22:52:00-04:00,134.06,134.07,134.06,134.07,134.08985229851325,134.05614770148694,134.0730000000001,43,44.31699078083107,44.31699078083107,42.521903015225114,NaN,NaN,NaN,NaN
2024-10-20T22:53:00-04:00,134.07,134.07,134.07,134.07,134.08696662867754,134.05703337132263,134.0720000000001,12,44.31699078083107,44.31699078083107,43.522766607672494,NaN,NaN,NaN,NaN
2024-10-20T22:54:00-04:00,134.07,134.07,134.07,134.07,134.08602583875023,134.0569741612499,134.07150000000007,3,44.31699078083108,44.31699078083108,44.523630200119875,NaN,NaN,NaN,NaN
2024-10-20T22:55:00-04:00,134.08,134.08,134.08,134.08,134.08602583875023,134.0569741612499,134.07150000000007,1,52.1999019885105,52.1999019885105,45.40759211989672,NaN,NaN,NaN,NaN
2024-10-20T22:56:00-04:00,134.07,134.07,134.07,134.07,134.08602583875023,134.0569741612499,134.07150000000007,2,45.29442928880401,45.29442928880401,46.16307701065351,NaN,NaN,NaN,NaN
2024-10-20T22:57:00-04:00,134.07,134.08,134.07,134.08,134.08696663013595,134.05703336986417,134.07200000000006,2,52.116198605078935,52.116198605078935,46.840019274400184,NaN,NaN,NaN,NaN
